f150_descripcion;f120_referencia;f121_id_barras_principal;f120_descripcion;f117_descripcion_color;f121_id_ext1_detalle;f121_id_ext2_detalle;CATEGORIA;LINEA;MARCA;COLECCION;SECTOR;f400_fecha_ult_entrada;f400_fecha_ult_salida;f400_cant_existencia_1;f400_cant_comprometida_1;f400_cant_pendiente_salir_1;FECHA MINIMA ENTRADA;FECHA MAXIMA ENTRADA;FECHA MINIMA SALIDA;FECHA MAXIMA SALIDA
PRODUCTO TERMINADO ECOMMERCE;PF18120052                                        ;7706718586791;CAMISETA IRIS;GRIS PASTEL;50;XS                  ;RAGGED;CAMISETA;RAGSTYLE                                ;EVENTOS PF17-PF18;CAMISETA MANGA CORTA                    ;07/01/2022;11/03/2022;1;0;0;16/12/2021;7/01/2022;16/12/2021;16/12/2021
NUESTRO URABA;PF18120052                                        ;7706718586753;CAMISETA IRIS;GRIS PASTEL;50;L                   ;RAGGED;CAMISETA;RAGSTYLE                                ;EVENTOS PF17-PF18;CAMISETA MANGA CORTA                    ;16/12/2021;NULL;1;0;0;16/12/2021;16/12/2021;16/12/2021;16/12/2021
CONSIGNACION CAROLINA MACHADO;PF12110564                                        ;7706718573319;BLUSA NAYARIT;CAFE CARAMELO;202;S                   ;GLAM WORDS;CAMISA;RAGGED                                  ;FALTANTES ECOMMERCE ENERO 2022;CAMISA MANGA CORTA                      ;20/08/2024;NULL;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF11511051                                        ;7706718567431;VESTIDO THAILAND;NEGRO;1;S                   ;TRENDS;VESTIDO;RAGGED                                  ;ECOMMERCE PROMO SEPTIEMBRE 2022;VESTIDO LARGO DE TIRAS                  ;19/07/2023;06/10/2022;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF51510108                                        ;7706718567325;VESTIDO IMPERIO;AZUL CLARO;450;M                   ;FOR ME TOO JEANS WEAR                   ;VESTIDO;FORMETOO                                ;ECOMMERCE PROMO SEPTIEMBRE 2022;VESTIDO CORTO MANGA SISA                ;11/01/2024;16/01/2024;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF12110563                                        ;7706718551782;BLUSA VILLAGE;BLANCO CRUDO;101;XS                  ;RAGGED;CAMISA;RAGGED                                  ;NOVIEMBRE RAGGED C1 2021;CAMISA MANGA 3/4                        ;09/08/2024;30/09/2022;1;0;0;NULL;NULL;NULL;NULL
PUENTE ARANDA;PF51350257                                        ;7706718575443;JEANS SKINNY FUNKY;AZUL OSCURO;401;6;FOR ME TOO JEANS WEAR                   ;JEANS;FORMETOO                                ;DICIEMBRE RAGGED C3 2021;JEANS BOTA TUBO                         ;20/02/2024;02/04/2025;1;0;0;14/12/2021;20/02/2024;14/12/2021;14/12/2021
PUENTE ARANDA;PF51350257                                        ;7706718575412;JEANS SKINNY FUNKY;AZUL OSCURO;401;10;FOR ME TOO JEANS WEAR                   ;JEANS;FORMETOO                                ;DICIEMBRE RAGGED C3 2021;JEANS BOTA TUBO                         ;20/02/2024;20/06/2022;1;0;0;14/12/2021;20/02/2024;14/12/2021;14/12/2021
UNICO BARRANQUILLA;PF51350257                                        ;7706718575412;JEANS SKINNY FUNKY;AZUL OSCURO;401;10;FOR ME TOO JEANS WEAR                   ;JEANS;FORMETOO                                ;DICIEMBRE RAGGED C3 2021;JEANS BOTA TUBO                         ;09/04/2024;23/12/2023;1;0;0;14/12/2021;9/04/2024;14/12/2021;14/12/2021
GUAYABAL 2;PF31330181                                        ;7706718537953;CAPRI GALICIA;AMARILLO MOSTAZA;702;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;12/01/2024;27/01/2024;3;0;0;12/01/2024;12/01/2024;12/01/2024;12/01/2024
