f150_descripcion;f120_referencia;f121_id_barras_principal;f120_descripcion;f117_descripcion_color;f121_id_ext1_detalle;f121_id_ext2_detalle;CATEGORIA;LINEA;MARCA;COLECCION;SECTOR;f400_fecha_ult_entrada;f400_fecha_ult_salida;f400_cant_existencia_1;f400_cant_comprometida_1;f400_cant_pendiente_salir_1;FECHA MINIMA ENTRADA;FECHA MAXIMA ENTRADA;FECHA MINIMA SALIDA;FECHA MAXIMA SALIDA
NUESTRO MONTERIA 2;PF51110943                                        ;7706718523512;CAMISA MALI;AZUL CLARO;450;L                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;05/02/2024;24/07/2025;1;0;0;5/02/2024;5/02/2024;5/02/2024;5/02/2024
FOR ME TOO NUESTRO ATLANTICO;PF51110943                                        ;7706718523512;CAMISA MALI;AZUL CLARO;450;L                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;24/06/2025;29/04/2025;1;0;0;12/12/2024;24/06/2025;12/12/2024;12/12/2024
PUENTE ARANDA;PF51110943                                        ;7706718523543;CAMISA MALI;AZUL CLARO;450;XL                  ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;22/05/2024;26/12/2024;3;0;0;20/02/2024;22/05/2024;20/02/2024;20/02/2024
LA 65;PF51110943                                        ;7706718523543;CAMISA MALI;AZUL CLARO;450;XL                  ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;18/11/2024;28/06/2025;1;0;0;18/11/2024;18/11/2024;18/11/2024;18/11/2024
NUESTRO MONTERIA 2;PF51110943                                        ;7706718523543;CAMISA MALI;AZUL CLARO;450;XL                  ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;05/02/2024;24/07/2025;1;0;0;5/02/2024;5/02/2024;5/02/2024;5/02/2024
FOR ME TOO NUESTRO ATLANTICO;PF51110943                                        ;7706718523543;CAMISA MALI;AZUL CLARO;450;XL                  ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;24/06/2025;29/04/2025;1;0;0;12/12/2024;24/06/2025;12/12/2024;12/12/2024
TERMINAL DEL NORTE;PF51110943                                        ;7706718523482;CAMISA MALI;CALIDAD TIPO B;0;S                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;02/01/2025;12/07/2025;5;0;0;5/11/2024;2/01/2025;5/11/2024;5/11/2024
RIONEGRO;PF51110943                                        ;7706718523536;CAMISA MALI;AZUL CLARO;450;S                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;04/12/2024;27/06/2025;4;0;0;20/02/2024;4/12/2024;20/02/2024;20/02/2024
RIONEGRO;PF51110943                                        ;7706718523529;CAMISA MALI;AZUL CLARO;450;M                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;20/02/2024;12/04/2025;4;0;0;20/02/2024;20/02/2024;20/02/2024;20/02/2024
RIONEGRO;PF51110943                                        ;7706718523512;CAMISA MALI;AZUL CLARO;450;L                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;20/02/2024;14/06/2024;2;0;0;20/02/2024;20/02/2024;20/02/2024;20/02/2024
RIONEGRO;PF51110943                                        ;7706718523543;CAMISA MALI;AZUL CLARO;450;XL                  ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;20/02/2024;14/06/2024;2;0;0;20/02/2024;20/02/2024;20/02/2024;20/02/2024
PRODUCTO TERMINADO ECOMMERCE;PF31120982                                        ;7706718523628;CAMISETA REMEMBER;BLANCO;100;S                   ;RAGSTYLE JEANS WEAR                     ;CAMISETA;RAGSTYLE                                ;PROMOCION RAGSTYLE OCTUBRE;CAMISETA MANGA CORTA                    ;21/07/2022;12/03/2023;1;0;0;7/04/2022;21/07/2022;7/04/2022;7/04/2022
PRODUCTO TERMINADO ECOMMERCE;PF31120982                                        ;7706718523611;CAMISETA REMEMBER;BLANCO;100;M                   ;RAGSTYLE JEANS WEAR                     ;CAMISETA;RAGSTYLE                                ;PROMOCION RAGSTYLE OCTUBRE;CAMISETA MANGA CORTA                    ;07/04/2022;24/12/2024;4;0;0;7/04/2022;7/04/2022;7/04/2022;7/04/2022
